,Symbol,Company,Ongoing/ One-time,Activity,Sector,Schedule,Amount to be Spent as decided by Company (Rs.lacs),Actual Amount Spent (Rs.lacs),Amount transferred to Unspent CSR Account for the project (Rs.lacs),Direct-Agency Name/s,Direct-Amount (Rs.lacs),Implementing Agency Name/s,Implementing Agency-Amount (Rs.lacs),States (City/Town/District/Village),Category
11676,PIDILITIND,PIDILITE INDUSTRIES LTD.,Ongoing,HEALTHCARE,"I, X","SCHEDULE VII (I), SCHEDULE VII (X)",11.0,8.0,3.0,,,B.K.PAREKH PARKINSON'S DISEASE & MOVEMENT DISORDER SOCIETY,8.0,GUJARAT (BHAVNAGAR),Medical and Health
11677,PIDILITIND,PIDILITE INDUSTRIES LTD.,One-time,HEALTHCARE,"I, X","SCHEDULE VII (I), SCHEDULE VII (X)",,56.8,,"DISTRICT COLLECTOR, VISAKHAPATNAM",56.8,,,ANDHRA PRADESH (VISHAKHAPATNAM),Medical and Health
11679,PIDILITIND,PIDILITE INDUSTRIES LTD.,One-time,HEALTHCARE,"I, X","SCHEDULE VII (I), SCHEDULE VII (X)",,56.8,,,,VIJAYGANGA TRUST HOSPITAL,56.8,TAMIL NADU (CHENNAI),Medical and Health
11681,PIDILITIND,PIDILITE INDUSTRIES LTD.,One-time,HEALTHCARE,"I, X","SCHEDULE VII (I), SCHEDULE VII (X)",,56.8,,,,SHRI JANSEVA MANDAL,56.8,GUJARAT (VAPI),Medical and Health
11683,PIDILITIND,PIDILITE INDUSTRIES LTD.,One-time,HEALTHCARE,"I, X","SCHEDULE VII (I), SCHEDULE VII (X)",,56.8,,"STATE DISASTER MANAGEMENT AUTHORITY, BADDI",56.8,,,HIMACHAL PRADESH (BADDI),Medical and Health
11684,PIDILITIND,PIDILITE INDUSTRIES LTD.,One-time,HEALTHCARE,"I, X","SCHEDULE VII (I), SCHEDULE VII (X)",,56.8,,"RED CROSS SOCIETY, NALAGARH",56.8,,,HIMACHAL PRADESH (NALAGARH),Medical and Health
11688,PIDILITIND,PIDILITE INDUSTRIES LTD.,One-time,HEALTHCARE,"I, X","SCHEDULE VII (I), SCHEDULE VII (X)",,56.8,,,,NADKARNI MEDICAL FOUNDATION,56.8,GUJARAT (VAPI),Medical and Health
11689,PIDILITIND,PIDILITE INDUSTRIES LTD.,One-time,HEALTHCARE,"I, X","SCHEDULE VII (I), SCHEDULE VII (X)",,56.8,,,,CANCER PATIENTS AID ASSOCIATION,56.8,MAHARASHTRA (MUMBAI),Medical and Health
11694,PIDILITIND,PIDILITE INDUSTRIES LTD.,One-time,HEALTHCARE,"I, X","SCHEDULE VII (I), SCHEDULE VII (X)",,56.8,,COVID RELIEF FUND,56.8,,,HIMACHAL PRADESH (KALAAMB),Medical and Health
11696,PIDILITIND,PIDILITE INDUSTRIES LTD.,One-time,HEALTHCARE,"I, X","SCHEDULE VII (I), SCHEDULE VII (X)",,56.8,,MAHAD MANUFACTURES ASSOCIATION,56.8,,,MAHARASHTRA (RAIGAD),Medical and Health
11699,PILANIINVS,PILANI INVESTMENT & INDUSTRIES CORP.LTD.,One-time,PROMOTING HEALTH CARE INCLUDING PREVENTIVE HEALTH CARE,PROMOTING HEALTH CARE INCLUDING PREVENTIVE HEALTH CARE,SCHEDULE VII (I),,50.0,,,,"INSTITUTE OF NEUROSCIENCES, KOLKATA",50.0,WEST BENGAL (KOLKATA),Medical and Health
11700,PILANIINVS,PILANI INVESTMENT & INDUSTRIES CORP.LTD.,One-time,PROMOTING HEALTH CARE INCLUDING PREVENTIVE HEALTH CARE,PROMOTING HEALTH CARE INCLUDING PREVENTIVE HEALTH CARE,SCHEDULE VII (I),,15.73,,,,MARWARI RELIEF SOCIETY HOSPITAL,15.73,WEST BENGAL (KOLKATA),Medical and Health
11706,PITTIENG,PITTI ENGINEERING LTD.,One-time,CONDUCTING COVID-19 VACCINATION PROGRAMS,HEALTH CARE,"SCHEDULE VII (I), SCHEDULE VII (XII)",,130.86,,,130.86,,,"MAHARASHTRA (AURANGABAD),TELANGANA (HYDERABAD)",Medical and Health
11719,PNBGILTS,PNB GILTS LTD.,Ongoing,PROCUREMENT OF MEDICAL EQUIPMENT FOR BETTER TREATMENT OF POOR PATIENTS IN RADIOTHERAPY DEPARTMENT AND SURGICAL ONCOLOGY DEPARTMENT OF HOSPITAL,(I),SCHEDULE VII (I),68.32,53.32,15.0,,,JAIPUR CANCER RELIEF SOCIETY,53.32,RAJASTHAN (JAIPUR),Medical and Health
11725,PNBGILTS,PNB GILTS LTD.,One-time,"PROVIDING COOKED MEALS AND FAMILY HAPPINESS KITS TO POOR, HOMELESS AND NEEDY",(I),SCHEDULE VII (I),,98.0,,,,"AKSHAYA PATRA FOUNDATION,THE",98.0,DELHI,Medical and Health
11727,PNBHOUSING,PNB HOUSING FINANCE LTD.,One-time,ESTABLISHING PSA TECHNOLOGY BASED OXYGEN PLANT IN A GOVERNMENT HOSPITAL,I,SCHEDULE VII (I),,78.76,,,,PEHEL FOUNDATION,78.76,MADHYA PRADESH (BHOPAL),Medical and Health
11729,PNBHOUSING,PNB HOUSING FINANCE LTD.,One-time,"TO STRENGTHEN INFRASTRUCTURE AT 5 PRIMARY HEALTHCARE CENTRES (PHCS), COMMUNITY HEALTH CENTRES (CHCS)",I,SCHEDULE VII (I),,258.79,,,,PEHEL FOUNDATION,258.79,"GUJARAT (AHMEDABAD),RAJASTHAN (UDAIPUR),TAMIL NADU (CHENNAI),TELANGANA (HYDERABAD),UTTAR PRADESH (NOIDA)",Medical and Health
11738,PNBHOUSING,PNB HOUSING FINANCE LTD.,One-time,TO MAINTAIN AND OPERATE TWO AMBULANCES TO BE USED FOR WELLBEING OF UNDERPRIVILEGED IN THE SOCIETY,I,SCHEDULE VII (I),,84.69,,,,PEHEL FOUNDATION,84.69,"DELHI (DELHI /NCR),UTTAR PRADESH (AGRA)",Medical and Health
11750,PNBHOUSING,PNB HOUSING FINANCE LTD.,One-time,PLANTATION OF SAPLINGS TO CREATE MIYAWAKI FOREST,IV,SCHEDULE VII (IV),,46.72,,,,PEHEL FOUNDATION,46.72,"DELHI (DELHI /NCR),KARNATAKA (BENGALURU)",Medical and Health
11752,PNBHOUSING,PNB HOUSING FINANCE LTD.,One-time,TO PROVIDE AUTOMATED BLOOD SCREENING DEVICES FOR THALASSEMIA PATIENTS,I,SCHEDULE VII (I),,48.4,,,,PEHEL FOUNDATION,48.4,TELANGANA (HYDERABAD),Medical and Health
11753,PNBHOUSING,PNB HOUSING FINANCE LTD.,One-time,PROVIDE OXYGEN CONCENTRATORS FOR COMMUNITY AT LARGE,I,SCHEDULE VII (I),,6.05,,,,PEHEL FOUNDATION,6.05,"DELHI (DELHI /NCR),KARNATAKA (BENGALURU),MAHARASHTRA (MUMBAI)",Medical and Health
11761,PNCINFRA,PNC INFRATECH LTD.,One-time,STUDENT DORMITORY (PROMOTING HOSTELS FOR WOMEN AND ORPHANS),CLAUSE III,SCHEDULE VII (III),,0.51,,,0.51,,,,Medical and Health
11767,PNCINFRA,PNC INFRATECH LTD.,One-time,"PROMOTING HEALTHCARE, POVERTY AND MALNUTRITION, ERADICATING HUNGER AND MAKING AVAILABLE SAFE DRINKING WATER",CLAUSE I,SCHEDULE VII (I),,509.7,,,509.7,,,,Medical and Health
11771,PODDARMENT,PODDAR PIGMENTS LTD.,One-time,HEALTH CARE,PROMOTING HEALTH CARE,SCHEDULE VII (I),,5.0,,,,RAMNATH GOENKA CHARITABLE TRUST,5.0,TAMIL NADU (CHENNAI),Medical and Health
11777,PODDARMENT,PODDAR PIGMENTS LTD.,One-time,HEALTH CARE,PROMOTING HEALTH CARE,SCHEDULE VII (I),,0.29,,NARAYANA MULTISPECIALTY HOSPITAL FOR COVID VACCINATION CHARGES,0.3,,,RAJASTHAN (JAIPUR),Medical and Health
11778,PODDARMENT,PODDAR PIGMENTS LTD.,One-time,ERADICATING HUNGER,ERADICATING HUNGER,SCHEDULE VII (I),,0.5,,,,MANAVA SEVA DHARMA SAMVARDHANI,0.5,TAMIL NADU (CHENNAI),Medical and Health
11779,PODDARMENT,PODDAR PIGMENTS LTD.,One-time,HEALTH CARE,PROMOTING HEALTH CARE,SCHEDULE VII (I),,5.0,,,,H.P.CANCER HOSPITAL & RESEARCH INSTITUTE,5.0,UTTAR PRADESH (GORAKHPUR),Medical and Health
11782,POLYMED,POLY MEDICURE LTD.,One-time,ON PROVIDING FOOD AND RELATED SERVICES,(I),SCHEDULE VII (I),,,,,,,,"HARYANA (FARIDABAD),RAJASTHAN (JAIPUR),UTTARAKHAND (HARIDWAR)",Medical and Health
11784,POLYMED,POLY MEDICURE LTD.,One-time,ON PROMOTION OF HEALTHCARE,(I),SCHEDULE VII (I),,73.66,,,,BHAGIRATHI SEVA PRANYAS TERAPANTH YUVAK PARISHAD TRUST LUNG CARE FOUNDATION,73.66,"HARYANA (FARIDABAD),RAJASTHAN (JAIPUR),UTTARAKHAND (HARIDWAR)",Medical and Health
11786,POLYCAB,POLYCAB INDIA LTD.,One-time,"HEALTH CARE & SANITATION COVID, HEALTH CAMPS, SANITATION FACILITIES, HOSPITAL EQUIPMENT AND EXPANSION SUPPORT",(I),"SCHEDULE VII (I), SCHEDULE VII (XII)",,890.9,,POLYCAB SOCIAL WELFARE FOUNDATION,890.9,,,"GUJARAT (PANCHMAHAL),JHARKHAND (RANCHI),KERALA (CALICUT,CHERTHALA,ERNAKULAM,MANAPPURAM),MADHYA PRADESH (INDORE),MAHARASHTRA (AURANGABAD),TAMIL NADU (COIMBATORE),UTTARAKHAND (ROORKEE),WEST BENGAL (KOLKATA)",Medical and Health
11789,POLYPLEX,POLYPLEX CORP.LTD.,One-time,HEALTH AND MEDICARE AT NEW DELHI,CLAUSE (I) PROMOTING HEALTH CARE,SCHEDULE VII (I),,6.0,,,,SAPNA NGO,6.0,DELHI,Medical and Health
11790,POLYPLEX,POLYPLEX CORP.LTD.,Ongoing,HEALTH AND MEDICARE AT KHATIMA AND BAZPUR,CLAUSE (I)  (PROMOTING HEALTH CARE),SCHEDULE VII (I),185.0,46.76,10.24,"CIVIL GOVT.HOSPITALS, KHATIMA & BAZPUR",46.76,,,UTTARAKHAND (UDHAM SINGH NAGAR),Medical and Health
11792,POLYPLEX,POLYPLEX CORP.LTD.,One-time,HEALTH AND MEDICARE AT BANGALURU,CLAUSE (I) PROMOTING HEALTH CARE,SCHEDULE VII (I),,15.0,,,,"RANGADORE MEMORIAL HOSPITAL (SRI SRINGERI SHARDA PEETHAM CHARITABLE TRUST, KARNATAKA)",15.0,KARNATAKA (BENGALURU),Medical and Health
11800,PFC,POWER FINANCE CORP.LTD.,One-time,"PROVIDING OXYGEN CONCENTRATORS IN THE COVID CARE CENTRES IN SIDDHARTHNAGAR, UP",ITEM (I) - HEALTHCARE,SCHEDULE VII (I),,55.0,,,,JILA CIVIL SOCIAL RESPONSIBILITY ASSOCIATION SIDDHARTHNAGAR,55.0,UTTAR PRADESH (SIDDHARTHNAGAR),Medical and Health
11804,PFC,POWER FINANCE CORP.LTD.,Ongoing,"PROVIDING ONE UNIT OF CANCER DETECTION & AWARENESS MOBILE VAN AND RELATED EQUIPMENT FOR DR. RAM MANOHAR LOHIA INSTITUTE OF MEDICAL SCIENCES, LUCKNOW, UP.",ITEM (I) - HEALTHCARE,SCHEDULE VII (I),349.0,,349.0,,,DR.RAM MANOHAR LOHIA INSTITUTE OF MEDICAL SCIENCES,,UTTAR PRADESH (LUCKNOW),Medical and Health
11806,PFC,POWER FINANCE CORP.LTD.,One-time,PROCUREMENT & DISTRIBUTION OF COLD CHAIN EQUIPMENT (CCE) AS PART OF COVID-19 VACCINATION PROGRAMME,ITEM (I) - HEALTHCARE,SCHEDULE VII (I),,6.0,,,,REC LTD.,6.0,DADRA & NAGAR HAVELI AND DAMAN & DIU,Medical and Health
11816,PFC,POWER FINANCE CORP.LTD.,Ongoing,PROJECT FOR RELIEF AND REHABILITATION ACTIVITIES IN UTTARAKHAND,"ITEM (I) - HEALTHCARE ITEM (II) - PROMOTING EDUCATION ITEM (XII) - DISASTER MANAGEMENT, INCLUDING RELIEF, REHABILITATION AND RECONSTRUCTION ACTIVITIES","SCHEDULE VII (I), SCHEDULE VII (II), SCHEDULE VII (XII)",400.0,400.0,,,,UTTARAKHAND STATE DISASTER MANAGEMENT AUTHORITY,400.0,UTTARAKHAND,Medical and Health
11817,PFC,POWER FINANCE CORP.LTD.,One-time,"PROVIDING MEDICAL INFRASTRUCTURE IN COVID CARE CENTRES, CHCS, PHCS IN CHURACHANDPUR, MANIPUR",ITEM (I) - HEALTHCARE,SCHEDULE VII (I),,172.0,,,,"DISTRICT RURAL DEVELOPMENT AGENCY, CHURACHANDPUR",172.0,MANIPUR (CHURACHANDPUR),Medical and Health
11820,PFC,POWER FINANCE CORP.LTD.,Ongoing,"PROVIDING MEDICAL INFRASTRUCTURE IN COMMUNITY HEALTH CARE CENTRE (CHC) AT BANDGAON BLOCK, WEST SINGHBHUM, JHARKHAND",ITEM (I) - HEALTHCARE,SCHEDULE VII (I),123.0,12.0,111.0,,,"DISTRICT CSR FUND, CHAIBASA",12.0,JHARKHAND (WEST SINGHBHUM),Medical and Health
11828,PFC,POWER FINANCE CORP.LTD.,One-time,"PROVIDING COVID-19 RELIEF MEASURES IN KOTA, RAJASTHAN",ITEM (I) - HEALTHCARE,SCHEDULE VII (I),,50.0,,,,"INDIAN RED CROSS SOCIETY, KOTA",50.0,RAJASTHAN (KOTA),Medical and Health
11832,POWERGRID,POWER GRID CORP.OF INDIA LTD.,Ongoing,"PROCUREMENT OF MEDICAL EQUIPMENT TO GGH, KAKINADA, EAST GODAVARI, AP",HEALTHCARE,SCHEDULE VII (I),50.74,23.03,,,23.03,,,ANDHRA PRADESH (KAKINADA),Medical and Health
11834,POWERGRID,POWER GRID CORP.OF INDIA LTD.,Ongoing,PROVIDING 03 NUMBER OF AMBULANCES TO THE TALUK LEVEL GENERAL HOSPITALS SITUATED IN SIVAGANGAI DISTRICT IN TAMIL NADU,HEALTHCARE,SCHEDULE VII (I),52.54,61.53,,,61.53,,,TAMIL NADU (SIVAGANGA),Medical and Health
11836,POWERGRID,POWER GRID CORP.OF INDIA LTD.,One-time,"PROVIDING MEDICAL EQUIPMENTS TO CHC KHALSTE, CHC NUBRA, CHC TANGTSE & CHC NYOMA DISTT. LEH, J&K",HEALTHCARE,SCHEDULE VII (I),,32.92,,,,"CMO HEALTH DEPT., LEH",32.92,LADAKH (LEH),Medical and Health
11845,POWERGRID,POWER GRID CORP.OF INDIA LTD.,Ongoing,"PROCUREMENT & DISTRIBUTION OF N-95 MASK, HAND SANITIZER AND HAND WASH LIQUID TO ASHAS AND PARA MEDICAL STAFF WORKING AT CHC RAVANAGUDA",HEALTHCARE,SCHEDULE VII (I),0.52,0.52,,,0.52,,,ODISHA (KORAPUT),Medical and Health
11846,POWERGRID,POWER GRID CORP.OF INDIA LTD.,Ongoing,PROVIDING MEDICAL EQUIPMENT AND INSTRUMENTS TO THE VARIOUS GOVERNMENT HEALTH FACILITIES IN THE STATE OF SIKKIM,HEALTHCARE,SCHEDULE VII (I),442.0,415.91,,,,"DG CUM SECRERTARY, HEALTH & FAMILY WELFARE DEPT., GOVT.OF SIKKIM",415.91,SIKKIM,Medical and Health
11863,POWERGRID,POWER GRID CORP.OF INDIA LTD.,One-time,"VARIOUS CSR WORKS AT GOVERNMENT SCHOOL, TAGA VILLAGE, AKALTARA TEHSIL, JANJGIR CHAMPA DISTRICT, CHHATTISGARH",SANITATION & PROMOTING EDUCATION,"SCHEDULE VII (I), SCHEDULE VII (II)",,-0.42,,,-0.42,,,CHHATTISGARH (CHAMPA),Medical and Health
11866,POWERGRID,POWER GRID CORP.OF INDIA LTD.,Ongoing,PROVIDING DIAGNOSTIC TEST KITS TO DETECT SICKLE CELL DISEASE AND THALASSEM IA IN TRIBAL AREA BHADRADRI-KOTHAGUDEM DISTRICT THROUGH MEDICAL HEALTH CAMP,HEALTHCARE,SCHEDULE VII (I),4.48,2.24,,,,IRCS TELANGANA,2.24,TELANGANA (BHADRADRI KOTHAGUDEM),Medical and Health
11870,POWERGRID,POWER GRID CORP.OF INDIA LTD.,One-time,FINANCIAL SUPPORT FOR CHC - MANPUR DISTRICT RAJNANDGAON SERVICES UP TO I.P.H.S STANDARD UNDER CSR INITIATIVE OF WR-1 (ASPIRATIONAL DISTRICT),HEALTHCARE,SCHEDULE VII (I),,166.49,,,,"COLLECTOR, RAJNANDGAON",166.49,CHHATTISGARH (RAJNANDGAON),Medical and Health
11873,POWERGRID,POWER GRID CORP.OF INDIA LTD.,One-time,SUPPLY OF MEDICAL EQUIPMENT TO MEDINIPUR MEDICAL COLLEGE & HOSPITAL,HEALTHCARE,SCHEDULE VII (I),,16.05,,,,"DISTRICT MAGISTRATE, PASCHIM MADINIPUR",16.05,WEST BENGAL (PASCHIM MEDINIPUR),Medical and Health
11884,POWERGRID,POWER GRID CORP.OF INDIA LTD.,Ongoing,"PROCUREMENT OF MASK & HAND SANITIZER FOR HANDING OVER TO COLLECTOR & DM , ANGUL FOR DISTRIBUTION TO THE NEEDY PEOPLE FOR FIGHTING AGAINST COVID-19",HEALTHCARE,SCHEDULE VII (I),2.37,2.37,,,2.37,,,ODISHA (ANGUL),Medical and Health
11886,POWERGRID,POWER GRID CORP.OF INDIA LTD.,One-time,CONDUCTING 18 NO. HEALTH CAMPS IN 9 ASPIRATIONAL DISTRICTS (TWO CAMPS IN EACH DISTRICT) UNDER CSR,HEALTHCARE,SCHEDULE VII (I),,47.67,,,,HLL LIFECARE LTD.,47.67,ALL STATES,Medical and Health
11891,POWERGRID,POWER GRID CORP.OF INDIA LTD.,One-time,"SUPPLY OF EQUIPMENT FOR LAB AND HOSPITAL STRENGTHENING FOR COMMUNITY HEALTH CENTRE AND DISTRICT HOSPIAL IN RAJNANGAON, CHHATTISGARH",HEALTHCARE,SCHEDULE VII (I),,37.02,,,37.02,,,CHHATTISGARH (RAJNANDGAON),Medical and Health
11892,POWERGRID,POWER GRID CORP.OF INDIA LTD.,Ongoing,PROCUREMENT OF OFFICE EQUIPMENTS (3 DESKTOPS & PRINTERS WITH TONER AND 3CCTVS FOR DMHO OFFICE) TO BE PROVIDED TO RYNJAH STATE DISPENSARY UNDER CSR INITIATIVE,HEALTHCARE,SCHEDULE VII (I),2.02,1.6,,,1.6,,,MEGHALAYA (SHILLONG),Medical and Health
11901,POWERGRID,POWER GRID CORP.OF INDIA LTD.,Ongoing,DISTRIBUTION AND SUPPLYING FOOD ITEMS/ RATION TO CONSTRUCTION LABOUR/ CONTRACTOR MANPOWER,DISASTER MANAGEMENT,"SCHEDULE VII (I), SCHEDULE VII (XII)",0.98,0.98,,,0.98,,,RAJASTHAN (JODHPUR),Medical and Health
11909,POWERGRID,POWER GRID CORP.OF INDIA LTD.,Ongoing,"PROVIDING FINANCIAL ASSISTANCE TOWARDS PROCUREMENT OF MEDICAL EQUIPMENT AND INFRASTRUCTURE TO COMBAT COVID-19 FOR GOVT. DISTRICT HOSPITAL, BAGHPAT, UTTAR PRADESH",HEALTHCARE,SCHEDULE VII (I),190.93,190.44,,,,"DISTRICT MAGISTRATE, BAGHPAT",190.44,UTTAR PRADESH (BAGHPAT),Medical and Health
11910,POWERGRID,POWER GRID CORP.OF INDIA LTD.,Ongoing,SUPPLY OF 02-NOS ICU VENTILATOR FOR COVID- 19 TREATMENT AT DISTRICT GOVT. HOSPITAL JANJGIR UNDER CSR OF CHAMPA,HEALTHCARE,SCHEDULE VII (I),20.0,20.0,,,,"DISTRICT COLLECTOR, CHAMPA",20.0,CHHATTISGARH (JANJGIR-CHAMPA),Medical and Health
11917,POWERGRID,POWER GRID CORP.OF INDIA LTD.,Ongoing,PROPOSAL FOR ADMINISTRATIVE APPROVAL FOR PROCUREMENT OF VARIOUS MATERIAL REQUIRED FOR DAILY USE OF COVID CARE CENTER AT TALEGAON DHAMDHERE,HEALTHCARE,SCHEDULE VII (I),0.91,0.83,,,0.83,,,MAHARASHTRA (PUNE),Medical and Health
11922,POWERGRID,POWER GRID CORP.OF INDIA LTD.,One-time,PROVIDING 4 MEDICAL MOBILE UNIT BILASPUR,HEALTHCARE,SCHEDULE VII (I),,-0.02,,,,"DISTRICT ADMINISTRATION, BILASPUR",-0.02,HIMACHAL PRADESH (BILASPUR),Medical and Health
11928,POWERGRID,POWER GRID CORP.OF INDIA LTD.,Ongoing,"PURCHASE OF MEDICAL ITEMS SOUGHT BY PUBLIC HEALTH CENTRE NAGRI, WARORA",HEALTHCARE,SCHEDULE VII (I),0.51,0.5,,,0.5,,,MAHARASHTRA (CHANDRAPUR),Medical and Health
11933,POWERGRID,POWER GRID CORP.OF INDIA LTD.,One-time,"CONSTRUCTION OF CANTEEN FOR PUBLIC PURPOSE IN 1200 SQ.FT AT THE OFFICE OF SUPERINTENDENT OF POLICE PREMISES, TIRUPUR UNDER CSR OF POWERGRID",HEALTHCARE,SCHEDULE VII (I),,0.5,,,0.5,,,TAMIL NADU (TIRUPPUR),Medical and Health
11939,POWERGRID,POWER GRID CORP.OF INDIA LTD.,Ongoing,PROPOSAL FOR APPROVAL OF DISTRIBUTION OF MASK AND HAND SANITIZER TO AMC CONTRACT LABOR IN COVID-19 PANDEMIC SITUATION AT JEYPORE SUB- STATION,HEALTHCARE,SCHEDULE VII (I),0.21,0.21,,,0.21,,,ODISHA (KORAPUT),Medical and Health
11944,POWERGRID,POWER GRID CORP.OF INDIA LTD.,Ongoing,"INSTALLATION OF PSA BASED OXYGEN GENERATION PLANT AT GOVT. DISTRICT HOSPITAL, BHIND, M.P",HEALTHCARE,SCHEDULE VII (I),19.7,19.7,,,,"DISTRICT COLLECTOR, BHIND",19.7,MADHYA PRADESH (BHIND),Medical and Health
11946,POWERGRID,POWER GRID CORP.OF INDIA LTD.,Ongoing,SETTING UP OF PSA OXYGEN GENERATION PLANT AT GURUGRAM,HEALTHCARE,SCHEDULE VII (I),242.44,285.53,,,285.53,,,HARYANA (GURUGRAM),Medical and Health
11950,POWERGRID,POWER GRID CORP.OF INDIA LTD.,One-time,PROPOSAL FOR CONSTRUCTION OF 12 UNITS OF PUBLIC TOILETS AT SINGJAMEI MANIPUR,SANITATION,SCHEDULE VII (I),,20.79,,,,MTDC MANIPUR,20.79,MANIPUR (IMPHAL WEST),Medical and Health
11971,POWERGRID,POWER GRID CORP.OF INDIA LTD.,Ongoing,REGARDING 10 NOS OXYGEN CYLINDER WITH FLOWMETER AT COVID CARE CENTRE (I.T.I.) AKALTARA FOR PROVIDING THE MEDICAL FACILITY TO COVID PATIENT OF CHAMPA,HEALTHCARE,SCHEDULE VII (I),4.82,1.28,,,1.28,,,CHHATTISGARH (JANJGIR-CHAMPA),Medical and Health
11976,POWERGRID,POWER GRID CORP.OF INDIA LTD.,Ongoing,"PLANTATION OF 1000 TREES IN THE AREAS OF GURUGRAM, HARYANA",ENVIRONMENT & SUSTAINABILITY,SCHEDULE VII (IV),2.0,1.99,,,,"INDIAN INSTITUTE OF TECHNOLOGY, MADRAS",1.99,HARYANA (GURUGRAM),Medical and Health
11981,POWERGRID,POWER GRID CORP.OF INDIA LTD.,One-time,DISTRIBUTION OF FOOD ITEMS UNDER CSR WORK FOR COVID-19,DISASTER MANAGEMENT,"SCHEDULE VII (I), SCHEDULE VII (XII)",,1.64,,,1.64,,,ALL STATES,Medical and Health
11986,POWERGRID,POWER GRID CORP.OF INDIA LTD.,Ongoing,SETTING UP OF PSA OXYGEN GENERATION PLANT AT DISTRICT HOSPITAL JAISALMER,HEALTHCARE,SCHEDULE VII (I),111.2,111.2,,,,"COLLECTOR & DISTRICT MAGISTRATE, JAISALMER",111.2,RAJASTHAN (JAISALMER),Medical and Health
11989,POWERGRID,POWER GRID CORP.OF INDIA LTD.,Ongoing,APPROVAL FOR PROCUREMENT OF 02 NOS ICU VENTILATOR & BED FOR RURAL GOVT. HOSPITAL NARKHED/KATOL UNDER CSR ACTIVITIES - FIGHT AGAINST COVID-19,PROMOTING HEALTH CARE AND DISASTER MANAGEMENT,"SCHEDULE VII (I), SCHEDULE VII (XII)",13.98,1.03,,,1.03,,,MAHARASHTRA (NAGPUR),Medical and Health
11992,POWERGRID,POWER GRID CORP.OF INDIA LTD.,Ongoing,"EXTENDING FINANCIAL SUPPORT TOWARDS SETTING UP PIPELINES FOR OXYGEN TRANSFER INSIDE COVID CARE CENTRE IN WEST SINGHBHUM, CHAIBASA (ASPIRATIONAL)",HEALTHCARE,SCHEDULE VII (I),19.05,19.05,,,,DISTRICT COLLECTOR,19.05,JHARKHAND (WEST SINGHBHUM),Medical and Health
11993,POWERGRID,POWER GRID CORP.OF INDIA LTD.,Ongoing,"PROCUREMENT OF VARIOUS MEDICAL EQUIPMENT FOR COMMUNITY HEALTH CENTRE, KARTARPUR, DISTRICT JALANDHAR, PUNJAB",HEALTHCARE,SCHEDULE VII (I),46.22,34.7,,,34.71,,,PUNJAB (JALANDHAR),Medical and Health
11998,POWERGRID,POWER GRID CORP.OF INDIA LTD.,One-time,"GUL, KOTESHWAR PROPOSAL FOR CONSTRUCTION OF GUL (POND- WATERBODY) FOR FAFRAN/SAUNTIYAAL VILLAGE KOTESHWAR, UTTARAKHAND UNDER CSR INITIATIVE OF POWERGRID","SAFE DRINKING WATER & CONSERVATION OF NATURAL RESOURCES AND ENVIRONMENTAL SUSTAINABILITY,","SCHEDULE VII (I), SCHEDULE VII (IV)",,12.57,,,,"MINOR IRRIGATION DEPT., TEHRI GARHWAL",12.57,UTTARAKHAND (ALMORA),Medical and Health
11999,POWERGRID,POWER GRID CORP.OF INDIA LTD.,One-time,PROCUREMENT OF PPE KITS/MEDICAL ITEMS FOR GIVING TO PUBLIC/DSTRICT ADMINISTRATION,HEALTHCARE,SCHEDULE VII (I),,10.25,,,10.25,,,ALL STATES,Medical and Health
12001,POWERGRID,POWER GRID CORP.OF INDIA LTD.,One-time,COVID-19 EXGRATIA,HEALTHCARE,"SCHEDULE VII (I), SCHEDULE VII (XII)",,2.63,,,2.64,,,ALL STATES,Medical and Health
12002,POWERGRID,POWER GRID CORP.OF INDIA LTD.,One-time,"PROCUREMENT & SUPPLY OF 5 AMBULANCES TO 5 DISTRICTS IN ANDHRA PRADESH, NAMELY VIZIANAGARAM, GUNTUR, KADAPA, CHITTOOR, AND PRAKASAM",HEALTHCARE,SCHEDULE VII (I),,151.44,,,,DISTRICT ADMINISTRATION,151.44,"ANDHRA PRADESH (CHITTOOR,GUNTUR,KADAPA,PRAKASAM,VIZIANAGARAM)",Medical and Health
12004,POWERGRID,POWER GRID CORP.OF INDIA LTD.,Ongoing,ASSISTANCE IN COVID-19 VACCINATION PROGRAMME THROUGH PROCUREMENT OF COLD CHAIN EQUIPMENT FOR SUPPORTING EXISTING INFRASTRUCTURE UNDER CSR INITIATIVE OF POWERGRID,HEALTHCARE,SCHEDULE VII (I),260.0,244.12,,,244.12,,,"LADAKH,MIZORAM,PUNJAB,SIKKIM",Medical and Health
12008,POWERGRID,POWER GRID CORP.OF INDIA LTD.,One-time,REVISED PROPOSAL FOR APPROVAL FOR COMPLETION OF UNFINISHED KALYANMANDAPA IN ASHAPUR VILLAGE AT RAICHUR UNDER POWERGRID CSR AT RAICHUR,RURAL DEVELOPMENT,SCHEDULE VII (X),,4.36,,,4.36,,,KARNATAKA (RAICHUR),Medical and Health
